"","timestamp","event.agent_home_planningregion","event.hyperUnique_unique_agents","event.longSum_total_records","event.origin_subzone"
"1","2018-01-06T00:00:00.000+08:00","CR",332,327,"KLSZ05"
"2","2018-01-06T00:00:00.000+08:00","ER",73,73,"KLSZ05"
"3","2018-01-06T00:00:00.000+08:00","NA",130,130,"KLSZ05"
"4","2018-01-06T00:00:00.000+08:00","NER",68,68,"KLSZ05"
"5","2018-01-06T00:00:00.000+08:00","NR",40,40,"KLSZ05"
"6","2018-01-06T00:00:00.000+08:00","WR",47,47,"KLSZ05"
"7","2018-01-06T01:00:00.000+08:00","CR",431,433,"KLSZ05"
"8","2018-01-06T01:00:00.000+08:00","ER",88,89,"KLSZ05"
"9","2018-01-06T01:00:00.000+08:00","NA",196,198,"KLSZ05"
"10","2018-01-06T01:00:00.000+08:00","NER",59,61,"KLSZ05"
"11","2018-01-06T01:00:00.000+08:00","NR",40,40,"KLSZ05"
"12","2018-01-06T01:00:00.000+08:00","WR",59,62,"KLSZ05"
"13","2018-01-06T02:00:00.000+08:00","CR",332,329,"KLSZ05"
"14","2018-01-06T02:00:00.000+08:00","ER",49,49,"KLSZ05"
"15","2018-01-06T02:00:00.000+08:00","NA",157,158,"KLSZ05"
"16","2018-01-06T02:00:00.000+08:00","NER",55,55,"KLSZ05"
"17","2018-01-06T02:00:00.000+08:00","NR",40,40,"KLSZ05"
"18","2018-01-06T02:00:00.000+08:00","WR",40,40,"KLSZ05"
"19","2018-01-06T03:00:00.000+08:00","CR",259,271,"KLSZ05"
"20","2018-01-06T03:00:00.000+08:00","ER",40,40,"KLSZ05"
"21","2018-01-06T03:00:00.000+08:00","NA",140,143,"KLSZ05"
"22","2018-01-06T03:00:00.000+08:00","NER",45,46,"KLSZ05"
"23","2018-01-06T03:00:00.000+08:00","NR",40,40,"KLSZ05"
"24","2018-01-06T03:00:00.000+08:00","WR",40,40,"KLSZ05"
"25","2018-01-06T04:00:00.000+08:00","CR",269,281,"KLSZ05"
"26","2018-01-06T04:00:00.000+08:00","ER",40,40,"KLSZ05"
"27","2018-01-06T04:00:00.000+08:00","NA",139,138,"KLSZ05"
"28","2018-01-06T04:00:00.000+08:00","NER",40,40,"KLSZ05"
"29","2018-01-06T04:00:00.000+08:00","NR",40,40,"KLSZ05"
"30","2018-01-06T04:00:00.000+08:00","WR",40,40,"KLSZ05"
"31","2018-01-06T05:00:00.000+08:00","CR",419,424,"KLSZ05"
"32","2018-01-06T05:00:00.000+08:00","ER",40,40,"KLSZ05"
"33","2018-01-06T05:00:00.000+08:00","NA",139,138,"KLSZ05"
"34","2018-01-06T05:00:00.000+08:00","NER",40,40,"KLSZ05"
"35","2018-01-06T05:00:00.000+08:00","NR",40,40,"KLSZ05"
"36","2018-01-06T05:00:00.000+08:00","WR",40,40,"KLSZ05"
"37","2018-01-06T06:00:00.000+08:00","CR",626,648,"KLSZ05"
"38","2018-01-06T06:00:00.000+08:00","ER",53,57,"KLSZ05"
"39","2018-01-06T06:00:00.000+08:00","NA",198,197,"KLSZ05"
"40","2018-01-06T06:00:00.000+08:00","NER",40,41,"KLSZ05"
"41","2018-01-06T06:00:00.000+08:00","NR",40,40,"KLSZ05"
"42","2018-01-06T06:00:00.000+08:00","WR",46,46,"KLSZ05"
"43","2018-01-06T07:00:00.000+08:00","CR",996,1033,"KLSZ05"
"44","2018-01-06T07:00:00.000+08:00","ER",73,73,"KLSZ05"
"45","2018-01-06T07:00:00.000+08:00","NA",316,324,"KLSZ05"
"46","2018-01-06T07:00:00.000+08:00","NER",73,73,"KLSZ05"
"47","2018-01-06T07:00:00.000+08:00","NR",40,40,"KLSZ05"
"48","2018-01-06T07:00:00.000+08:00","WR",70,69,"KLSZ05"
"49","2018-01-06T08:00:00.000+08:00","CR",1287,1327,"KLSZ05"
"50","2018-01-06T08:00:00.000+08:00","ER",151,153,"KLSZ05"
"51","2018-01-06T08:00:00.000+08:00","NA",441,441,"KLSZ05"
"52","2018-01-06T08:00:00.000+08:00","NER",99,100,"KLSZ05"
"53","2018-01-06T08:00:00.000+08:00","NR",74,76,"KLSZ05"
"54","2018-01-06T08:00:00.000+08:00","WR",90,95,"KLSZ05"
"55","2018-01-06T09:00:00.000+08:00","CR",1504,1567,"KLSZ05"
"56","2018-01-06T09:00:00.000+08:00","ER",208,207,"KLSZ05"
"57","2018-01-06T09:00:00.000+08:00","NA",505,506,"KLSZ05"
"58","2018-01-06T09:00:00.000+08:00","NER",174,186,"KLSZ05"
"59","2018-01-06T09:00:00.000+08:00","NR",85,85,"KLSZ05"
"60","2018-01-06T09:00:00.000+08:00","WR",136,139,"KLSZ05"
"61","2018-01-06T10:00:00.000+08:00","CR",1764,1859,"KLSZ05"
"62","2018-01-06T10:00:00.000+08:00","ER",321,333,"KLSZ05"
"63","2018-01-06T10:00:00.000+08:00","NA",589,593,"KLSZ05"
"64","2018-01-06T10:00:00.000+08:00","NER",292,300,"KLSZ05"
"65","2018-01-06T10:00:00.000+08:00","NR",139,140,"KLSZ05"
"66","2018-01-06T10:00:00.000+08:00","WR",196,208,"KLSZ05"
"67","2018-01-06T11:00:00.000+08:00","CR",1767,1797,"KLSZ05"
"68","2018-01-06T11:00:00.000+08:00","ER",352,360,"KLSZ05"
"69","2018-01-06T11:00:00.000+08:00","NA",572,586,"KLSZ05"
"70","2018-01-06T11:00:00.000+08:00","NER",343,339,"KLSZ05"
"71","2018-01-06T11:00:00.000+08:00","NR",131,132,"KLSZ05"
"72","2018-01-06T11:00:00.000+08:00","WR",212,215,"KLSZ05"
"73","2018-01-06T12:00:00.000+08:00","CR",1796,1833,"KLSZ05"
"74","2018-01-06T12:00:00.000+08:00","ER",421,417,"KLSZ05"
"75","2018-01-06T12:00:00.000+08:00","NA",614,626,"KLSZ05"
"76","2018-01-06T12:00:00.000+08:00","NER",348,369,"KLSZ05"
"77","2018-01-06T12:00:00.000+08:00","NR",166,169,"KLSZ05"
"78","2018-01-06T12:00:00.000+08:00","WR",258,255,"KLSZ05"
"79","2018-01-06T13:00:00.000+08:00","CR",1666,1779,"KLSZ05"
"80","2018-01-06T13:00:00.000+08:00","ER",454,446,"KLSZ05"
"81","2018-01-06T13:00:00.000+08:00","NA",613,626,"KLSZ05"
"82","2018-01-06T13:00:00.000+08:00","NER",352,355,"KLSZ05"
"83","2018-01-06T13:00:00.000+08:00","NR",166,174,"KLSZ05"
"84","2018-01-06T13:00:00.000+08:00","WR",198,204,"KLSZ05"
"85","2018-01-06T14:00:00.000+08:00","CR",1728,1771,"KLSZ05"
"86","2018-01-06T14:00:00.000+08:00","ER",414,423,"KLSZ05"
"87","2018-01-06T14:00:00.000+08:00","NA",641,651,"KLSZ05"
"88","2018-01-06T14:00:00.000+08:00","NER",393,396,"KLSZ05"
"89","2018-01-06T14:00:00.000+08:00","NR",170,174,"KLSZ05"
"90","2018-01-06T14:00:00.000+08:00","WR",284,281,"KLSZ05"
"91","2018-01-06T15:00:00.000+08:00","CR",1683,1721,"KLSZ05"
"92","2018-01-06T15:00:00.000+08:00","ER",428,423,"KLSZ05"
"93","2018-01-06T15:00:00.000+08:00","NA",664,672,"KLSZ05"
"94","2018-01-06T15:00:00.000+08:00","NER",397,390,"KLSZ05"
"95","2018-01-06T15:00:00.000+08:00","NR",186,185,"KLSZ05"
"96","2018-01-06T15:00:00.000+08:00","WR",288,285,"KLSZ05"
"97","2018-01-06T16:00:00.000+08:00","CR",1797,1806,"KLSZ05"
"98","2018-01-06T16:00:00.000+08:00","ER",487,504,"KLSZ05"
"99","2018-01-06T16:00:00.000+08:00","NA",716,702,"KLSZ05"
"100","2018-01-06T16:00:00.000+08:00","NER",451,466,"KLSZ05"
"101","2018-01-06T16:00:00.000+08:00","NR",273,270,"KLSZ05"
"102","2018-01-06T16:00:00.000+08:00","WR",338,347,"KLSZ05"
"103","2018-01-06T17:00:00.000+08:00","CR",1904,1975,"KLSZ05"
"104","2018-01-06T17:00:00.000+08:00","ER",602,608,"KLSZ05"
"105","2018-01-06T17:00:00.000+08:00","NA",873,896,"KLSZ05"
"106","2018-01-06T17:00:00.000+08:00","NER",622,630,"KLSZ05"
"107","2018-01-06T17:00:00.000+08:00","NR",273,278,"KLSZ05"
"108","2018-01-06T17:00:00.000+08:00","WR",414,436,"KLSZ05"
"109","2018-01-06T18:00:00.000+08:00","CR",2371,2507,"KLSZ05"
"110","2018-01-06T18:00:00.000+08:00","ER",836,842,"KLSZ05"
"111","2018-01-06T18:00:00.000+08:00","NA",1143,1192,"KLSZ05"
"112","2018-01-06T18:00:00.000+08:00","NER",846,887,"KLSZ05"
"113","2018-01-06T18:00:00.000+08:00","NR",446,455,"KLSZ05"
"114","2018-01-06T18:00:00.000+08:00","WR",693,713,"KLSZ05"
"115","2018-01-06T19:00:00.000+08:00","CR",2751,2844,"KLSZ05"
"116","2018-01-06T19:00:00.000+08:00","ER",1029,1046,"KLSZ05"
"117","2018-01-06T19:00:00.000+08:00","NA",1372,1384,"KLSZ05"
"118","2018-01-06T19:00:00.000+08:00","NER",1111,1126,"KLSZ05"
"119","2018-01-06T19:00:00.000+08:00","NR",567,590,"KLSZ05"
"120","2018-01-06T19:00:00.000+08:00","WR",1022,1056,"KLSZ05"
"121","2018-01-06T20:00:00.000+08:00","CR",1686,1760,"KLSZ05"
"122","2018-01-06T20:00:00.000+08:00","ER",450,450,"KLSZ05"
"123","2018-01-06T20:00:00.000+08:00","NA",695,717,"KLSZ05"
"124","2018-01-06T20:00:00.000+08:00","NER",470,473,"KLSZ05"
"125","2018-01-06T20:00:00.000+08:00","NR",231,232,"KLSZ05"
"126","2018-01-06T20:00:00.000+08:00","WR",346,358,"KLSZ05"
"127","2018-01-06T21:00:00.000+08:00","CR",1530,1582,"KLSZ05"
"128","2018-01-06T21:00:00.000+08:00","ER",436,454,"KLSZ05"
"129","2018-01-06T21:00:00.000+08:00","NA",686,701,"KLSZ05"
"130","2018-01-06T21:00:00.000+08:00","NER",527,529,"KLSZ05"
"131","2018-01-06T21:00:00.000+08:00","NR",215,219,"KLSZ05"
"132","2018-01-06T21:00:00.000+08:00","WR",292,300,"KLSZ05"
"133","2018-01-06T22:00:00.000+08:00","CR",2159,2249,"KLSZ05"
"134","2018-01-06T22:00:00.000+08:00","ER",856,849,"KLSZ05"
"135","2018-01-06T22:00:00.000+08:00","NA",1332,1358,"KLSZ05"
"136","2018-01-06T22:00:00.000+08:00","NER",1165,1181,"KLSZ05"
"137","2018-01-06T22:00:00.000+08:00","NR",444,454,"KLSZ05"
"138","2018-01-06T22:00:00.000+08:00","WR",833,853,"KLSZ05"
"139","2018-01-06T23:00:00.000+08:00","CR",2471,2519,"KLSZ05"
"140","2018-01-06T23:00:00.000+08:00","ER",1361,1359,"KLSZ05"
"141","2018-01-06T23:00:00.000+08:00","NA",1654,1682,"KLSZ05"
"142","2018-01-06T23:00:00.000+08:00","NER",1829,1890,"KLSZ05"
"143","2018-01-06T23:00:00.000+08:00","NR",666,678,"KLSZ05"
"144","2018-01-06T23:00:00.000+08:00","WR",1351,1377,"KLSZ05"
